Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Dr. Shaitan,1960,137.5,6.4,10,Unknown,hindi
Nadir Khan,1968,137.5,6.4,10,Unknown,urdu
Apna Sapna Money Money,2006,134,5.3,1892,"Comedy, Musical, Romance",hindi
Aag Aur Sholay,1987,137.5,2.2,20,Unknown,urdu
Parivar,1956,130,7.4,21,"Comedy, Drama, Family",hindi
Humraah: The Traitor,2008,120,6,32,Thriller,hindi
Jacqueline I Am Coming,2019,112,7.9,16,Drama,hindi
A Mighty Heart,2007,108,6.6,26885,"Biography, Drama, History",urdu
Midnight Mail,1939,137,5.5,21,Action,hindi
Raktalekha,1992,175,6.3,12,Drama,bengali
Veedevadandi Babu,1997,138,5.6,218,Comedy,telugu
A Mayalu Timi Lai,2018,5,8,17,"Short, Music",nepali
Da Tang Xuan Zang,2016,90,6.2,379,"Biography, History",sanskrit
Sikandar,1976,137.5,6.4,10,Unknown,hindi
Pehla Qadam,1958,137.5,6.4,10,Unknown,urdu
Amman Koil Kizhakkaalae,1986,141,6.9,63,Drama,tamil
Shatru,2013,139,4.5,11,"Action, Thriller",kannada
Kamal Khatri Feat. Simpal Kharel: Jaula Relaima,2017,5,8,17,"Short, Music",nepali
Zinda Jala Doonga,1988,137,5.5,21,Action,hindi
Tukaram,2012,156,7.3,231,"Biography, Drama, History",marathi
Ramante Edenthottam,2017,122,6,459,"Comedy, Drama, Romance",malayalam
Faslah,1974,134.5,6.75,52.5,"Crime, Drama, Romance",hindi
Jawani Ki Ghabrahat,1991,120,6,32,Thriller,hindi
Anbu Chinnam,1990,137.5,6.4,10,Unknown,tamil
Naveed,2020,57,7.5,37.5,Documentary,urdu
Ramudu Bheemudu,1988,141,6.9,24,Drama,telugu
Vaade Kavali,2009,133,6.2,31,Romance,telugu
Aakhri Muqabla,1978,137,5.5,21,Action,hindi
Dracula,1999,92,4.1,16,Horror,hindi
Jahanara,1935,137.5,6.4,10,Unknown,hindi
Geet,1970,142,7.1,98,"Action, Crime, Musical",hindi
Sej Piya Ki,1985,126,6.9,24,Drama,hindi
Sati Sita Luv Kush,1981,126,6.9,24,Drama,hindi
Nuvvu Vasthavani,2000,158,6.6,160,"Family, Romance",telugu
Madadgaar,1987,141.5,5.4,11,"Action, Crime, Drama",hindi
Hamra Se Biyah Karba,2003,126,6.9,24,Drama,bhojpuri
Milan Ki Raat,1967,136,4.4,7,"Drama, Romance",hindi
Bhool Bhulaiyan,1933,130,6,6,Comedy,hindi
Saajan Chale Sasural,1996,134,6,1312,"Comedy, Drama",hindi
Khaleja,2010,170,7.6,8284,"Action, Comedy, Fantasy",telugu
Rogue,2017,134,5.1,118,"Action, Thriller",kannada
Bhale Bullodu,1995,126,6.9,24,Drama,telugu
Jaal,1973,130,6.6,10,Musical,urdu
Yuvakudu,2000,145,6.9,110,Romance,telugu
Goolihatti,2015,156,6.9,24,Drama,kannada
Hamara Ghar,1950,137.5,6.4,10,Unknown,hindi
Olessia,2019,120,8.1,40,"Drama, Musical",malayalam
Prohibited,2015,12,8.2,25,"Short, Drama, Thriller",urdu
Sunday,2008,135,5.3,2592,"Action, Comedy, Mystery",hindi
Spy in Goa,1966,139,5.7,134,"Action, Thriller",hindi
Time to Dance,2021,113,1.3,406,"Musical, Romance",hindi
Gopi Kishan,1994,161,5.5,805,"Action, Comedy, Drama",hindi
Nigahen: Nagina Part II,1989,140,5.2,286,"Drama, Family, Fantasy",hindi
Dobara Phir Se,2016,127,6.6,427,Drama,urdu
Pagaivan,1997,142,5.2,82,"Action, Comedy",tamil
Red Alert: The War Within,2009,120,6.4,337,"Action, Drama, Thriller",hindi
Adhikar,1938,132,6.4,10,Unknown,hindi
